,companyFullName,city,companyLabelList,companySize,createTime,district,education,financeStage,firstType,industryField,positionAdvantage,positionLables,positionName,salary,workYear,,
72,贵州电子商务云运营有限责任公司,贵阳,"['交通补助', '带薪年假', '绩效奖金', '通讯津贴']",50-150人,2018-03-09 17:02:14,观山湖区（金阳新区）,不限,未融资,开发/测试/运维类,"电子商务,数据服务","五险一金,餐补","['js', 'Java']",python工程师,10k-15k,不限,,
73,维我软件（上海）有限公司北京分公司,北京,"['行业领先', '超长年假', '年度旅游']",500-2000人,2018-03-07 18:24:04,朝阳区,本科,上市公司,开发/测试/运维类,"移动互联网,企业服务","纽交所上市,云计算,SaaS,生命科学","['云计算', '初级', 'web', 'Java']",Python开发,15k-20k,1-3年,,
74,西安逆袭网络科技有限公司,西安,"['扁平化管理', '弹性工作制', '健身福利', '设备补助']",50-150人,2018-02-27 14:31:28,雁塔区,本科,A轮,开发/测试/运维类,"移动互联网,社交网络","弹性工作,扁平管理,五险一金,健身福利","['MySQL', '数据库']",Python开发工程师,10k-20k,3-5年,,
75,北京国双科技有限公司,深圳,"['年度旅游', '节日礼物', '年底双薪', '带薪年假']",500-2000人,2018-03-09 09:53:37,福田区,本科,上市公司,开发/测试/运维类,"数据服务,企业服务",上市公司 前景佳 氛围好 牛人多,['linux'],资深Python工程师（深圳）,20k-30k,5-10年,,
76,北京慕华信息科技有限公司,北京,"['节日礼物', '股票期权', '带薪年假', '氛围轻松']",150-500人,2018-03-11 18:12:54,海淀区,本科,B轮,开发/测试/运维类,"移动互联网,教育","五险一金,餐补,生日会,优秀团队","['资深', '高级', 'linux', 'Java']",Python开发工程师,20k-30k,3-5年,,
77,北京摩尔妈咪网络科技有限公司,北京,"['年底双薪', '股票期权', '定期体检', '带薪年假']",15-50人,2018-03-09 13:34:32,朝阳区,本科,A轮,开发/测试/运维类,移动互联网,"高薪,氛围轻松,环境优越","['教育', 'php', 'Java']",Python开发工程师,20k-40k,1-3年,,
78,北京榆钱投资管理有限公司,武汉,"['技能培训', '带薪年假', '岗位晋升', '弹性工作']",150-500人,2018-03-09 09:52:57,武昌区,大专,A轮,技术,金融,"弹性工作,氛围好,福利好,前景好","['大数据', '爬虫', '搜索']",Python,10k-20k,1-3年,,
79,北京神州绿盟信息安全科技股份有限公司,西安,"['技能培训', '节日礼物', '股票期权', '带薪年假']",500-2000人,2018-03-09 09:15:08,雁塔区,本科,上市公司,开发/测试/运维类,信息安全,五险一金；弹性工作；餐补；定期体检,['信息安全'],python开发工程师,9k-15k,1-3年,,
80,杭州顺网科技股份有限公司,成都,"['技能培训', '节日礼物', '年度旅游', '岗位晋升']",500-2000人,2018-03-09 15:29:06,武侯区,本科,上市公司,开发/测试/运维类,"游戏,文化娱乐","上市公司,大数据,大平台,福利健全","['中级', 'php', 'Java']",Python开发工程师,9k-16k,3-5年,,
81,维我软件（上海）有限公司北京分公司,北京,"['行业领先', '超长年假', '年度旅游']",500-2000人,2018-03-07 17:57:38,朝阳区,本科,上市公司,开发/测试/运维类,"移动互联网,企业服务","纽交所上市,云计算,SaaS,生命科学","['云计算', '高级', '中级', 'web', 'Java']",Python软件开发工程师,15k-25k,3-5年,,
82,北京猎户星空科技有限公司,北京,"['年度旅游', '弹性工作', '领导好', '五险一金']",150-500人,2018-02-24 11:54:52,朝阳区,本科,A轮,开发/测试/运维类,"移动互联网,硬件",绩效奖金 午餐补助 年度旅游 人工智能领域,"['数据分析', '搜索/推荐/知识']",python开发工程师,15k-30k,不限,,
83,深圳佑驾创新科技有限公司,深圳,"['无人驾驶', '国际标准', '车厂合作', '海归团队']",50-150人,2018-03-10 10:29:36,南山区,本科,A轮,开发/测试/运维类,"硬件,其他","无人驾驶,车厂合作,扁平化管理,股票期权",[],python工程师,15k-30k,1-3年,,
84,上海道客网络科技有限公司,上海,"['工程师文化', '业界大牛', '改变世界', '豪华团队']",150-500人,2018-03-09 13:18:52,杨浦区,本科,A轮,开发/测试/运维类,"企业服务,数据服务","15天年假,5天病假,年终多薪,公司前景","['云计算', '软件开发', 'Java']",Python开发工程师,20k-40k,3-5年,,
85,北京爱咔咔信息技术有限公司,北京,"['年底双薪', '技术控', '股票期权', '带薪年假']",15-50人,2018-03-09 10:42:23,海淀区,本科,A轮,开发/测试/运维类,"移动互联网,O2O","北大团队,五百强大牛,期权奖励,专业培训","['C++', 'Java', 'c#']",Python工程师,15k-30k,3-5年,,
86,上海微麦电子商务发展有限公司,上海,"['五险一金', '带薪年假', '绩效奖金', '年终分红']",15-50人,2018-03-11 14:13:06,浦东新区,本科,A轮,开发/测试/运维类,"移动互联网,电子商务","牛人引领,不打卡,薪资高,氛围好",['电商'],python,10k-20k,1-3年,,
